ip,hostname,location,mainContent,title,h1,owern
186.86.0.2,dynamic-ip-1868602.cable.net.co,CO Risaralda Pereira,,,,AS10620 Telmex Colombia S.A.
186.86.1.2,dynamic-ip-1868612.cable.net.co,CO Risaralda Pereira,,,,AS10620 Telmex Colombia S.A.
186.86.2.2,dynamic-ip-1868622.cable.net.co,CO Risaralda Pereira,,,,AS10620 Telmex Colombia S.A.
186.86.3.2,dynamic-ip-1868632.cable.net.co,CO Risaralda Pereira,,,,AS10620 Telmex Colombia S.A.
186.86.4.2,dynamic-ip-1868642.cable.net.co,CO Risaralda Pereira,,,,AS10620 Telmex Colombia S.A.
186.86.5.2,dynamic-ip-1868652.cable.net.co,CO Risaralda Pereira,,,,AS10620 Telmex Colombia S.A.
186.86.6.2,dynamic-ip-1868662.cable.net.co,CO Risaralda Pereira,,,,AS10620 Telmex Colombia S.A.
186.86.7.2,dynamic-ip-1868672.cable.net.co,CO Risaralda Pereira,,,,AS10620 Telmex Colombia S.A.
186.86.8.2,dynamic-ip-1868682.cable.net.co,CO Caldas Department Manizales,,,,AS10620 Telmex Colombia S.A.
186.86.9.2,dynamic-ip-1868692.cable.net.co,CO Caldas Department Manizales,,,,AS10620 Telmex Colombia S.A.
